defined_class	defined_class_label	birth_notch	birth_notch_label	neuroblast	neuroblast_label	stage	stage_label	neurotransmitter	neurotransmitter_label	clone	clone_label	other_types	other_types_label
FBbt:00051461	hemilineage 22A secondary neuron	FBbt:00049541	Notch ON hemilineage secondary neuron	FBbt:00001416	neuroblast NB5-4			GO:0014055	acetylcholine secretion, neurotransmission				
FBbt:00051462	hemilineage 20A secondary neuron	FBbt:00049541	Notch ON hemilineage secondary neuron	FBbt:00111737	neuroblast NB5-7			GO:0014055	acetylcholine secretion, neurotransmission				
FBbt:00051463	hemilineage 12A secondary neuron	FBbt:00049541	Notch ON hemilineage secondary neuron	FBbt:00001398	neuroblast NB6-1			GO:0014055	acetylcholine secretion, neurotransmission				
FBbt:00051464	hemilineage 19A secondary neuron	FBbt:00049541	Notch ON hemilineage secondary neuron	FBbt:00001391	neuroblast NB6-2			GO:0061534	gamma-aminobutyric acid secretion, neurotransmission				
FBbt:00051465	hemilineage 3A secondary neuron	FBbt:00049541	Notch ON hemilineage secondary neuron	FBbt:00001380	neuroblast NB7-1			GO:0014055	acetylcholine secretion, neurotransmission				
FBbt:00051466	hemilineage 11A secondary neuron	FBbt:00049541	Notch ON hemilineage secondary neuron	FBbt:00001392	neuroblast NB7-2			GO:0014055	acetylcholine secretion, neurotransmission				
FBbt:00051467	hemilineage 1B secondary neuron	FBbt:00049542	Notch OFF hemilineage secondary neuron	FBbt:00001384	neuroblast NB1-2			GO:0061534	gamma-aminobutyric acid secretion, neurotransmission				
FBbt:00051468	hemilineage 8B secondary neuron	FBbt:00049542	Notch OFF hemilineage secondary neuron	FBbt:00001422	neuroblast NB3-3			GO:0014055	acetylcholine secretion, neurotransmission				
FBbt:00051469	hemilineage 9B secondary neuron	FBbt:00049542	Notch OFF hemilineage secondary neuron	FBbt:00001375	neuroblast NB3-5			GO:0061535	glutamate secretion, neurotransmission				
FBbt:00051470	hemilineage 13B secondary neuron	FBbt:00049542	Notch OFF hemilineage secondary neuron	FBbt:00001389	neuroblast NB4-2								
FBbt:00051471	hemilineage 21B secondary neuron	FBbt:00049542	Notch OFF hemilineage secondary neuron	FBbt:00001423	neuroblast NB4-3								
FBbt:00051472	hemilineage 6B secondary neuron	FBbt:00049542	Notch OFF hemilineage secondary neuron	FBbt:00001376	neuroblast NB5-2								
FBbt:00051473	hemilineage 22B secondary neuron	FBbt:00049542	Notch OFF hemilineage secondary neuron	FBbt:00001416	neuroblast NB5-4			GO:0061535	glutamate secretion, neurotransmission				
FBbt:00051474	hemilineage 20B secondary neuron	FBbt:00049542	Notch OFF hemilineage secondary neuron	FBbt:00111737	neuroblast NB5-7			GO:0061535	glutamate secretion, neurotransmission				
FBbt:00051475	hemilineage 12B secondary neuron	FBbt:00049542	Notch OFF hemilineage secondary neuron	FBbt:00001398	neuroblast NB6-1			GO:0061534	gamma-aminobutyric acid secretion, neurotransmission				
FBbt:00051476	hemilineage 19B secondary neuron	FBbt:00049542	Notch OFF hemilineage secondary neuron	FBbt:00001391	neuroblast NB6-2			GO:0014055	acetylcholine secretion, neurotransmission				
FBbt:00051477	hemilineage 3B secondary neuron	FBbt:00049542	Notch OFF hemilineage secondary neuron	FBbt:00001380	neuroblast NB7-1			GO:0061534	gamma-aminobutyric acid secretion, neurotransmission				
FBbt:00051478	hemilineage 11B secondary neuron	FBbt:00049542	Notch OFF hemilineage secondary neuron	FBbt:00001392	neuroblast NB7-2			GO:0061534	gamma-aminobutyric acid secretion, neurotransmission				
FBbt:00052194	ALlv1 lineage neuron	FBbt:00005106	neuron	FBbt:00050038	neuroblast ALlv1								
FBbt:00052201	DM3 lineage neuron	FBbt:00005106	neuron	FBbt:00050100	neuroblast DM3								
FBbt:00052202	DM6 lineage neuron	FBbt:00005106	neuron	FBbt:00050142	neuroblast DM6								
FBbt:00052203	DM5 lineage neuron	FBbt:00005106	neuron	FBbt:00050059	neuroblast DM5								
FBbt:00052204	DM4 lineage neuron	FBbt:00005106	neuron	FBbt:00050252	neuroblast DM4								
FBbt:00052205	DM2 lineage neuron	FBbt:00005106	neuron	FBbt:00050121	neuroblast DM2								
FBbt:00052519	lineage NB5-6 neuron	FBbt:00005106	neuron	FBbt:00001377	neuroblast NB5-6								
FBbt:00052520	lineage NB5-6 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001377	neuroblast NB5-6								
FBbt:00052819		FBbt:00005106	neuron	FBbt:00100584	neuroblast DPMm2								
FBbt:00100636	ALv1 lineage neuron	FBbt:00005106	neuron	FBbt:00067348	neuroblast ALv1								
FBbt:00100637	DAMv1 lineage neuron	FBbt:00005106	neuron	FBbt:00100498	neuroblast DAMv1								
FBbt:00100638	DAMv2 lineage neuron	FBbt:00005106	neuron	FBbt:00100512	neuroblast DAMv2								
FBbt:00100639	DAMd1 lineage neuron	FBbt:00005106	neuron	FBbt:00100540	neuroblast DAMd1								
FBbt:00100640	DAMd2 lineage neuron	FBbt:00005106	neuron	FBbt:00100541	neuroblast DAMd2								
FBbt:00100641	DAMd3 lineage neuron	FBbt:00005106	neuron	FBbt:00100542	neuroblast DAMd3								
FBbt:00100642	DALv1 lineage neuron	FBbt:00005106	neuron	FBbt:00100543	neuroblast DALv1								
FBbt:00100643	DALv2 lineage neuron	FBbt:00005106	neuron	FBbt:00050136	neuroblast DALv2								
FBbt:00100644	DALcl1 lineage neuron	FBbt:00005106	neuron	FBbt:00100545	neuroblast DALcl1								
FBbt:00100646	DALcl2 lineage neuron	FBbt:00005106	neuron	FBbt:00100546	neuroblast DALcl2								
FBbt:00100647	DALl1 lineage neuron	FBbt:00005106	neuron	FBbt:00100547	neuroblast DALl1								
FBbt:00100648	DALcm1 lineage neuron	FBbt:00005106	neuron	FBbt:00100548	neuroblast DALcm1								
FBbt:00100649	DALcm2 lineage neuron	FBbt:00005106	neuron	FBbt:00100549	neuroblast DALcm2								
FBbt:00100650	DALd lineage neuron	FBbt:00005106	neuron	FBbt:00100550	neuroblast DALd								
FBbt:00100651	BAmd1 lineage neuron	FBbt:00005106	neuron	FBbt:00100551	neuroblast BAmd1								
FBbt:00100652	LALv1 lineage neuron	FBbt:00005106	neuron	FBbt:00050166	neuroblast LALv1								
