defined_class	defined_class_label	precursor_type	precursor_type_label	develops_into_entity	develops_into_entity_label	develops_from_entity	develops_from_entity_label
FBbt:00001660	ventral metathoracic disc primordium	FBbt:00005495	primordium	FBbt:00001783	metathoracic leg disc		
FBbt:00001661	genital disc primordium	FBbt:00005495	primordium	FBbt:00001784	genital disc		
FBbt:00001662	male genital disc primordium	FBbt:00005495	primordium	FBbt:00001785	male genital disc		
FBbt:00001663	female genital disc primordium	FBbt:00005495	primordium	FBbt:00001787	female genital disc		
FBbt:00001665	dorsal vessel primordium	FBbt:00005495	primordium	FBbt:00005680	embryonic dorsal vessel	FBbt:00005541	cardiogenic mesoderm
FBbt:00001716	corpus allatum primordium	FBbt:00005495	primordium	FBbt:00001725	embryonic/larval corpus allatum	FBbt:00005541	cardiogenic mesoderm
FBbt:00001717	corpus cardiacum primordium	FBbt:00005495	primordium	FBbt:00001726	embryonic/larval corpus cardiacum		
FBbt:00001770	ommatidial precursor cluster	FBbt:00005495	primordium	FBbt:00004510	ommatidium		
FBbt:00001771	five-cell ommatidial precursor cluster	FBbt:00005495	primordium	FBbt:00001772	immature eight-cell ommatidial precursor cluster	FBbt:00007144	early ommatidial precursor cluster
FBbt:00001772	immature eight-cell ommatidial precursor cluster	FBbt:00005495	primordium	FBbt:00001773	mature eight-cell ommatidial precursor cluster	FBbt:00001771	five-cell ommatidial precursor cluster
FBbt:00001773	mature eight-cell ommatidial precursor cluster	FBbt:00005495	primordium	FBbt:00001774	two cone-cell ommatidial precursor cluster	FBbt:00001772	immature eight-cell ommatidial precursor cluster
FBbt:00001774	two cone-cell ommatidial precursor cluster	FBbt:00005495	primordium	FBbt:00001775	four cone-cell ommatidial precursor cluster	FBbt:00001773	mature eight-cell ommatidial precursor cluster
FBbt:00001775	four cone-cell ommatidial precursor cluster	FBbt:00005495	primordium	FBbt:00004510	ommatidium	FBbt:00001774	two cone-cell ommatidial precursor cluster
FBbt:00001786	male genital primordium (female)	FBbt:00005495	primordium	FBbt:00052079|FBbt:00052082|FBbt:00052083|FBbt:00052080|FBbt:00052060|FBbt:00004915	uterine furca|vaginal furca|vaginal furcal fold|uterine furcal papillate elevation|genital chamber furca|female accessory gland duct		
FBbt:00001788	female genital primordium (male)	FBbt:00005495	primordium	FBbt:00048382|FBbt:00048382|FBbt:00048382|FBbt:00048382	epandrial anterodorsal phragma|epandrial anterodorsal phragma|epandrial anterodorsal phragma|epandrial anterodorsal phragma		
FBbt:00001933	larval outer optic anlage	FBbt:00005426	anlage	FBbt:00001939	lamina anlage	FBbt:00005822	embryonic outer optic lobe primordium
FBbt:00001939	lamina anlage	FBbt:00005426	anlage	FBbt:00003708	lamina	FBbt:00001933	larval outer optic anlage
FBbt:00001944	lobula anlage	FBbt:00005426	anlage	FBbt:00003852	lobula	FBbt:00001951	larval inner optic anlage
FBbt:00001951	larval inner optic anlage	FBbt:00005426	anlage	FBbt:00001944|FBbt:00001946	lobula anlage|lobula plate anlage	FBbt:00000461	embryonic inner optic lobe primordium
FBbt:00004204	ventral ectoderm anlage	FBbt:00005426	anlage	FBbt:00005558	ventral ectoderm		
FBbt:00004204	ventral ectoderm anlage	FBbt:00005426	anlage	FBbt:00005558	ventral ectoderm		
FBbt:00005036	tracheal pit	FBbt:00005495	primordium	FBbt:00005042	imaginal tracheoblast		
FBbt:00005037	tracheal primordium	FBbt:00005495	primordium	FBbt:00005494	embryonic primordium of adult tracheal precursor	FBbt:00000112	dorsal ectoderm
FBbt:00005067	fat body primordium	FBbt:00005495	primordium	FBbt:00001704	embryonic/larval fat body	FBbt:00005520	fat body/gonad primordium
FBbt:00005255	embryonic heart anchoring cell primordium	FBbt:00005495	primordium	FBbt:00005254	embryonic/larval heart anchoring cell		
FBbt:00005427	ectoderm anlage	FBbt:00005426	anlage	FBbt:00000111	ectoderm		
FBbt:00005428	dorsal ectoderm anlage	FBbt:00005426	anlage	FBbt:00000112	dorsal ectoderm		
FBbt:00005431	foregut anlage	FBbt:00005426	anlage	FBbt:00005606	embryonic foregut	FBbt:00005423	foregut anlage in statu nascendi
FBbt:00005434	visual anlage	FBbt:00005426	anlage	FBbt:00001059	visual primordium	FBbt:00005425	visual anlage in statu nascendi
FBbt:00005435	endoderm anlage	FBbt:00005426	anlage	FBbt:00000125	endoderm		
FBbt:00005452	midgut interstitial cell primordium	FBbt:00005495	primordium	FBbt:00001888	embryonic/larval midgut interstitial cell	FBbt:10005329	posterior midgut primordium
FBbt:00005473	gonadal sheath proper primordium	FBbt:00005495	primordium	FBbt:00001054	embryonic/larval gonadal sheath muscle cell	FBbt:00005520	fat body/gonad primordium
FBbt:00005494	embryonic primordium of adult tracheal precursor	FBbt:00005495	primordium	FBbt:00005605	imaginal tracheal precursor	FBbt:00005037	tracheal primordium
FBbt:00005497	prothoracic gland primordium	FBbt:00005495	primordium	FBbt:00001724	prothoracic gland	FBbt:00005553	dorsal sensory complex primordium
FBbt:00005508	mushroom body primordium	FBbt:00005495	primordium	FBbt:00005801	mushroom body		
FBbt:00005511	pars intercerebralis primordium	FBbt:00005495	primordium	FBbt:00005667	embryonic pars intercerebralis		
FBbt:00005512	salivary gland body primordium	FBbt:00005495	primordium	FBbt:00007594	embryonic/larval salivary gland body	FBbt:00005558	ventral ectoderm
FBbt:00005513	embryonic primordium of adult hindgut precursor	FBbt:00005495	primordium	FBbt:00005646	embryonic precursor of adult hindgut	FBbt:00000441	hindgut proper primordium
FBbt:00005514	clypeo-labral disc primordium	FBbt:00005495	primordium	FBbt:00001765	clypeo-labral disc	FBbt:00004203	adult clypeo-labral anlage
FBbt:00005515	early embryonic primordium of adult eye	FBbt:00005495	primordium	FBbt:00105515	late embryonic primordium of adult eye	FBbt:00001059	visual primordium
FBbt:00005516	embryonic primordium of adult muscle precursor	FBbt:00005495	primordium	FBbt:00003232	embryonic precursor cell of adult muscle	FBbt:00000128	trunk mesoderm
