defined_class	defined_class_label	neuroblast	neuroblast_label	cluster	cluster_label	sex	sex_label	neuron	neuron_label	fruitless	soma_location	soma_location_label
FBbt:00110519	adult fruitless pSG-d neuron			FBbt:00110518	adult fruitless pSG-d lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051025	cell body rind of adult ventral gnathal ganglion
FBbt:00110521	adult fruitless pSG-e neuron			FBbt:00110520	adult fruitless pSG-e lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051025	cell body rind of adult ventral gnathal ganglion
FBbt:00110523	adult fruitless pSP-a neuron	FBbt:00100595	neuroblast DPLc1	FBbt:00110522	adult fruitless pSP-a lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110525	adult fruitless pSP-b (female) neuron	FBbt:00100600	neuroblast DPLl1	FBbt:00110524	adult fruitless pSP-b (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110527	adult fruitless pSP-c neuron			FBbt:00110526	adult fruitless pSP-c lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110529	adult fruitless aIP5 neuron			FBbt:00110528	adult fruitless aIP5 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051008	cell body rind of adult lateral anterior ventrolateral protocerebrum
FBbt:00110531	adult fruitless pSP-d neuron			FBbt:00110530	adult fruitless pSP-d lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110533	adult fruitless pSP-e neuron			FBbt:00110532	adult fruitless pSP-e lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110535	adult fruitless pSP-f neuron			FBbt:00110534	adult fruitless pSP-f lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110537	adult fruitless aDT1 neuron			FBbt:00110536	adult fruitless aDT1 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100211	cell body rind of adult antennal lobe
FBbt:00110539	adult fruitless aDT4 neuron			FBbt:00110538	adult fruitless aDT4 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051003	cell body rind of adult ventral antennal lobe
FBbt:00110541	adult fruitless aDT7 neuron	FBbt:00100563	neuroblast BAlp1	FBbt:00110540	adult fruitless aDT7 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051003	cell body rind of adult ventral antennal lobe
FBbt:00110543	adult fruitless aDT8 neuron			FBbt:00110542	adult fruitless aDT8 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110545	adult fruitless aIP2 neuron			FBbt:00110544	adult fruitless aIP2 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100209	cell body rind of adult anterior ventrolateral protocerebrum
FBbt:00110547	adult fruitless aIP3 neuron			FBbt:00110546	adult fruitless aIP3 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100209	cell body rind of adult anterior ventrolateral protocerebrum
FBbt:00110551	adult fruitless pIP2 neuron			FBbt:00110550	adult fruitless pIP2 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111153	adult posterior brain cell body rind
FBbt:00110553	adult fruitless aSP3 neuron			FBbt:00110552	adult fruitless aSP3 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151|FBbt:00052048	adult anterior brain cell body rind|cell body rind of adult protocerebrum
FBbt:00110555	adult fruitless aSP4 (male) neuron			FBbt:00110554	adult fruitless aSP4 (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151|FBbt:00052048	adult anterior brain cell body rind|cell body rind of adult protocerebrum
FBbt:00110557	adult fruitless pIP4 neuron			FBbt:00110556	adult fruitless pIP4 lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100213	cell body rind of adult inferior neuropils
FBbt:00110573	adult fruitless aIP-i neuron			FBbt:00110572	adult fruitless aIP-i lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100209	cell body rind of adult anterior ventrolateral protocerebrum
FBbt:00110575	adult fruitless Mb neuron			FBbt:00110574	adult fruitless Mb lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00007112	cell body rind of adult mushroom body calyx
FBbt:00110579	adult fruitless aDT-b (male) neuron	FBbt:00050246	neuroblast CREa1 (male)	FBbt:00110578	adult fruitless aDT-b (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051000	cell body rind of adult anterodorsal antennal lobe
FBbt:00110581	adult fruitless aDT-d (male) neuron			FBbt:00110580	adult fruitless aDT-d (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110583	adult fruitless aDT-e (male) neuron	FBbt:00067347	neuroblast ALl1	FBbt:00110582	adult fruitless aDT-e (male) lineage clone	FBbt:00007004	male organism	FBbt:00052692		http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110585	adult fruitless aIP-b (male) neuron	FBbt:00050157	neuroblast VLPa1	FBbt:00110584	adult fruitless aIP-b (male) lineage clone	FBbt:00007004	male organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110587	adult fruitless aIP-c (male) neuron	FBbt:00100612	neuroblast BLAv1	FBbt:00110586	adult fruitless aIP-c (male) lineage clone	FBbt:00007004	male organism	FBbt:00052691		http://flybase.org/reports/FBgn0004652	FBbt:00100209	cell body rind of adult anterior ventrolateral protocerebrum
