defined_class	defined_class_label	defining_modality	defining_modality_label	other_modality	other_modality_label	dendrite_location	dendrite_location_label	soma_location	soma_location_label	nerve	nerve_label
FBbt:00048215	sugar-sensing neuron of prothoracic leg tarsal taste bristle 2b	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00048171	prothoracic leg tarsal taste bristle 2b				
FBbt:00048216	sugar-sensing neuron of prothoracic leg tarsal taste bristle 3b	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00048176	prothoracic leg tarsal taste bristle 3b				
FBbt:00048217	sugar-sensing neuron of prothoracic leg tarsal taste bristle 4b	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00048179	prothoracic leg tarsal taste bristle 4b				
FBbt:00048218	sugar-sensing neuron of prothoracic leg tarsal taste bristle 4s	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00048182	prothoracic leg tarsal taste bristle 4s				
FBbt:00048219	sugar-sensing neuron of prothoracic leg tarsal taste bristle 5b	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00048184	prothoracic leg tarsal taste bristle 5b				
FBbt:00048220	sugar-sensing neuron of prothoracic leg tarsal taste bristle 5v	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00048185	prothoracic leg tarsal taste bristle 5v				
FBbt:00048221	sugar-sensing neuron of prothoracic leg tarsal taste bristle 5s	GO:0001582	detection of chemical stimulus involved in sensory perception of sweet taste			FBbt:00048186	prothoracic leg tarsal taste bristle 5s				
FBbt:00048222	bitter-sensing neuron of mesothoracic leg tarsal taste bristle 4s	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste			FBbt:00048194	mesothoracic leg tarsal taste bristle 4s				
FBbt:00048223	bitter-sensing neuron of mesothoracic leg tarsal taste bristle 5b	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste			FBbt:00048196	mesothoracic leg tarsal taste bristle 5b				
FBbt:00048224	bitter-sensing neuron of metathoracic leg tarsal taste bristle 4s	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste			FBbt:00048205	metathoracic leg tarsal taste bristle 4s				
FBbt:00048225	bitter-sensing neuron of metathoracic leg tarsal taste bristle 5b	GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste			FBbt:00048207	metathoracic leg tarsal taste bristle 5b				
