root_id,UMAP1,UMAP2,root_626,supervoxel_id,position,side,region,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,super_cluster,cns_network
720575941687408623,-25.177582721905107,0.9289494634238303,720575941687408623,75930968082646767,"114139, 92500, 2875",left,neck_connective,ascending,06B,NA,NA,AN06B040,AN_multi_6,AN06B040,flight steering 1,CNS_01
720575941687421302,-12.587017040447588,7.1252790570822775,720575941687421302,76001336760197696,"116648, 92500, 2791",left,neck_connective,descending,LB7,NA,NA,DNg09,DNg09,DNxn144,flight steering 2,CNS_04
720575941687585036,26.86191274623454,2.519815552291018,720575941687585036,76282811736282905,"124076, 92500, 2634",right,neck_connective,ascending,TBD,NA,NA,ANXXX027,AN_AVLP_PVLP_1,ANXXX027,feeding,CNS_09
720575941687586060,18.262570400043128,-6.641245734635252,720575941687586060,76282811736172092,"122903, 92500, 2576",left,neck_connective,ascending,TBD,NA,NA,ANXXX041,AN_GNG_123,ANXXX041,tactile,CNS_02
720575941687586316,18.633740443988447,-6.670098197403808,720575941687586316,76212442992103696,"122707, 92500, 2573",left,neck_connective,ascending,TBD,NA,NA,ANXXX041,AN_GNG_64,ANXXX041,tactile,CNS_02
720575941687667574,6.0676465223270695,-13.473172557297607,720575941687667574,76212442992695858,"121075, 92500, 2783",right,neck_connective,ascending,NA,NA,NA,NA,NA,auto:IN12A037,walking steering,CNS_02
720575941614913555,20.6874838064152,-6.369697463456053,720575941614913555,76636923334743357,"134764, 161270, 3282",left,neck_connective,ascending,05B,NA,NA,AN05B056,AN_GNG_197,AN05B056,tactile,CNS_02
720575941687774683,-30.02694032688558,18.517484295424566,720575941687774683,76353180547810725,"125242, 92500, 2904",right,neck_connective,ascending,07B,NA,NA,AN07B072,SA_DMT_DMetaN_8,AN07B072,flight steering 2,CNS_01
720575941687786870,-20.69626901646077,9.167789089736086,720575941687786870,76212443059223884,"122140, 92500, 2824",right,neck_connective,ascending,06B,NA,NA,AN06B031,AN_SAD_GNG_1,AN06B031,flight steering 1,CNS_01
720575941687936219,-25.43970201511799,22.227412807997798,720575941687936219,76353180547935474,"124984, 92500, 2948",right,neck_connective,ascending,19B,NA,NA,AN19B076,SA_DMT_DMetaN_8,AN19B076,flight steering 2,CNS_01
720575941687950555,12.781740207477219,7.466560471114261,720575941687950555,76212442992715401,"120973, 92500, 2788",right,neck_connective,ascending,08B,NA,NA,AN08B099,AN_GNG_90,AN08B099,threat response,CNS_02
720575941516704761,-4.847498874859208,2.814751732405764,720575941516704761,76071705504259461,"117618, 92500, 2753",left,neck_connective,ascending,TBD,NA,NA,ANXXX023,AN_GNG_179,ANXXX023,landing,CNS_02
720575941688127350,22.928429622455237,20.091344463881594,720575941688127350,76212442992402882,"122848, 92500, 2680",right,neck_connective,ascending,10B,NA,NA,AN10B053,AN_AVLP_53,AN10B053,proprioceptive,CNS_05
720575941688133871,2.04470803241313,-2.235822331848997,720575941688133871,76353180480530556,"126207, 92500, 2761",right,neck_connective,descending,putative_primary,NA,NA,DNge046,DNge046,auto:DNfl016,walking,CNS_02
720575941688158447,21.057209987445482,-9.219980609360594,720575941688158447,76001336692343194,"115368, 92500, 2545",right,neck_connective,ascending,01B,NA,NA,AN01B002,AN_GNG_23,AN01B002,tactile,CNS_02
720575941688189935,-27.929354648784987,-0.38418192368883214,720575941688189935,76071705637907844,"117302, 92500, 3076",left,neck_connective,descending,putative_primary,NA,NA,DNb01,DNb01,DNb01,flight steering 1,CNS_01
720575941688217356,-21.00149820347249,21.156962978896246,720575941688217356,76212443059571330,"121592, 92500, 2947",right,neck_connective,ascending,19B,NA,NA,AN19B100,AN_4_None,AN19B100,flight steering 2,CNS_01
720575941688242328,-2.339174847797747,-27.437931430283445,720575941688242328,75930968082586938,"113723, 92500, 2854",right,neck_connective,descending,MX12,NA,NA,DNge024,DNge024,DNg12,grooming,CNS_02
720575941688250998,-3.5074600984615043,-15.322066676560302,720575941688250998,76282811736561840,"123256, 92500, 2733",right,neck_connective,descending,putative_primary,NA,NA,DNg47,DNg47,DNg47,probing,CNS_06
720575941688517388,-2.053210239605303,-1.8933206915291723,720575941688517388,75930968015372657,"113975, 92500, 2680",left,neck_connective,descending,putative_primary,NA,NA,DNg93,DNg93,DNg93,walking,CNS_02
720575941688574360,-31.710356693462725,11.532763111647707,720575941688574360,76282811736762172,"123572, 92500, 2801",right,neck_connective,descending,LB7,NA,NA,DNge109,DNge109,DNut054,flight steering 1,CNS_01
720575941688631414,-2.7598562051814746,5.224153149184328,720575941688631414,76215192241153210,"121220, 175552, 4409",right,ventral_nerve_cord,ascending,07B,NA,NA,AN07B003,NA,AN07B003,landing,CNS_02
720575941688644315,-27.86509607334553,16.867366421279055,720575941688644315,76282811803683929,"122886, 92500, 2924",right,neck_connective,descending,LB6,NA,NA,DNge085,DNge085,DNnt011,flight steering 2,CNS_01
720575941688674200,-24.99541948337971,13.919159519728765,720575941688674200,76001336760239592,"116647, 92500, 2808",left,neck_connective,descending,LB7,NA,NA,DNge115,DNge115,DNxn109,flight steering 2,CNS_01
720575941688806412,-12.884032230572101,-9.498918902817623,720575941688806412,75930968082903265,"114492, 92500, 2971",right,neck_connective,descending,putative_primary,NA,NA,DNg58,DNg58,DNxn145,head and eye orienting,CNS_01
720575941688979318,20.82675268153727,12.473638165053469,720575941688979318,76212442992452198,"122514, 92500, 2698",right,neck_connective,ascending,NA,NA,NA,AN10B037,AN_GNG_165,AN10B037,proprioceptive,CNS_02
