FBbt_id	cell_type	synonym	creation_date	asserted_parents	notes
FBbt:20004207	CB0441		2024-02-05T12:00:00Z		
FBbt:20004208	CB0442		2024-02-05T12:00:00Z		
FBbt:20004209	CB0443		2024-02-05T12:00:00Z		
FBbt:20004210	CB0444		2024-02-05T12:00:00Z		
FBbt:20004211	CB0445		2024-02-05T12:00:00Z		
FBbt:20004212	CB0446		2024-02-05T12:00:00Z		
FBbt:20004213	CB0448		2024-02-05T12:00:00Z		
FBbt:20004214	CB0449		2024-02-05T12:00:00Z		
FBbt:20004215	CB0450		2024-02-05T12:00:00Z		
FBbt:20004216	CB0451		2024-02-05T12:00:00Z		
FBbt:20004217	CB0452		2024-02-05T12:00:00Z		
FBbt:20004218	CB0453		2024-02-05T12:00:00Z		
FBbt:20004219	CB0454		2024-02-05T12:00:00Z		
FBbt:20004220	CB0455		2024-02-05T12:00:00Z		
FBbt:20004221	CB0456		2024-02-05T12:00:00Z		
FBbt:20004222	CB0457		2024-02-05T12:00:00Z		
FBbt:20004223	CB0458		2024-02-05T12:00:00Z		
FBbt:20004224	CB0459		2024-02-05T12:00:00Z		
FBbt:20004225	CB0460		2024-02-05T12:00:00Z		
FBbt:20004227	CB0462		2024-02-05T12:00:00Z		
FBbt:20004228	CB0463		2024-02-05T12:00:00Z		
FBbt:20004229	CB0465		2024-02-05T12:00:00Z		
FBbt:20004230	CB0466		2024-02-05T12:00:00Z		
FBbt:20004231	CB0467		2024-02-05T12:00:00Z		
FBbt:20004232	CB0468		2024-02-05T12:00:00Z		
FBbt:20004233	CB0469		2024-02-05T12:00:00Z		
FBbt:20004235	CB0473		2024-02-05T12:00:00Z		
FBbt:20004236	CB0475		2024-02-05T12:00:00Z		
FBbt:20004237	CB0477		2024-02-05T12:00:00Z		
FBbt:20004238	CB0478		2024-02-05T12:00:00Z		
FBbt:20004239	CB0479		2024-02-05T12:00:00Z		
FBbt:20004240	CB0480		2024-02-05T12:00:00Z		
FBbt:20004241	CB0481		2024-02-05T12:00:00Z		
FBbt:20004242	CB0483		2024-02-05T12:00:00Z		
FBbt:20004243	CB0484		2024-02-05T12:00:00Z		
FBbt:20004244	CB0485		2024-02-05T12:00:00Z		
FBbt:20004245	CB0486		2024-02-05T12:00:00Z		
FBbt:20004246	CB0487		2024-02-05T12:00:00Z		
FBbt:20004247	CB0488		2024-02-05T12:00:00Z		
FBbt:20004248	CB0489		2024-02-05T12:00:00Z		
FBbt:20004249	CB0491		2024-02-05T12:00:00Z		
FBbt:20004250	CB0492		2024-02-05T12:00:00Z		
FBbt:20004252	CB0494		2024-02-05T12:00:00Z		
FBbt:20004253	CB0495		2024-02-05T12:00:00Z		
FBbt:20004254	CB0496		2024-02-05T12:00:00Z		
FBbt:20004255	CB0497		2024-02-05T12:00:00Z		
FBbt:20004256	CB0498		2024-02-05T12:00:00Z		
FBbt:20004258	CB0500		2024-02-05T12:00:00Z		
FBbt:20004259	CB0501		2024-02-05T12:00:00Z		
FBbt:20004260	CB0502		2024-02-05T12:00:00Z		
FBbt:20004261	CB0503		2024-02-05T12:00:00Z		
FBbt:20004262	CB0504		2024-02-05T12:00:00Z		
FBbt:20004263	CB0507		2024-02-05T12:00:00Z		
FBbt:20004264	CB0508		2024-02-05T12:00:00Z		
FBbt:20004265	CB0509		2024-02-05T12:00:00Z		
FBbt:20004266	CB0510		2024-02-05T12:00:00Z		
FBbt:20004267	CB0512		2024-02-05T12:00:00Z		
FBbt:20004268	CB0514		2024-02-05T12:00:00Z		
FBbt:20004269	CB0515		2024-02-05T12:00:00Z		
FBbt:20004270	CB0516		2024-02-05T12:00:00Z		
FBbt:20004271	CB0517		2024-02-05T12:00:00Z		
FBbt:20004272	CB0518		2024-02-05T12:00:00Z		
FBbt:20004273	CB0519		2024-02-05T12:00:00Z		
FBbt:20004274	CB0521		2024-02-05T12:00:00Z		
FBbt:20004275	CB0522		2024-02-05T12:00:00Z		
FBbt:20004276	CB0523		2024-02-05T12:00:00Z		
FBbt:20004277	CB0524		2024-02-05T12:00:00Z		
FBbt:20004278	CB0525		2024-02-05T12:00:00Z		
FBbt:20004279	CB0526		2024-02-05T12:00:00Z		
FBbt:20004280	CB0527		2024-02-05T12:00:00Z		
FBbt:20004281	CB0528		2024-02-05T12:00:00Z		
FBbt:20004282	CB0529		2024-02-05T12:00:00Z		
FBbt:20004283	CB0530		2024-02-05T12:00:00Z		
FBbt:20004284	CB0531		2024-02-05T12:00:00Z		
FBbt:20004285	CB0532		2024-02-05T12:00:00Z		
FBbt:20004286	CB0533		2024-02-05T12:00:00Z		
FBbt:20004287	CB0534		2024-02-05T12:00:00Z		
FBbt:20004288	CB0538		2024-02-05T12:00:00Z		
FBbt:20004289	CB0539		2024-02-05T12:00:00Z		
FBbt:20004290	CB0540		2024-02-05T12:00:00Z		
FBbt:20004291	CB0541		2024-02-05T12:00:00Z		
FBbt:20004292	CB0542		2024-02-05T12:00:00Z		
FBbt:20004294	CB0544		2024-02-05T12:00:00Z		
FBbt:20004295	CB0545		2024-02-05T12:00:00Z		
FBbt:20004296	CB0546		2024-02-05T12:00:00Z		
FBbt:20004297	CB0547		2024-02-05T12:00:00Z		
FBbt:20004298	CB0548		2024-02-05T12:00:00Z		
FBbt:20004299	CB0549		2024-02-05T12:00:00Z		
FBbt:20004300	CB0550		2024-02-05T12:00:00Z		
FBbt:20004301	CB0552		2024-02-05T12:00:00Z		
FBbt:20004303	CB0555		2024-02-05T12:00:00Z		
FBbt:20004304	CB0556		2024-02-05T12:00:00Z		
FBbt:20004305	CB0557		2024-02-05T12:00:00Z		
FBbt:20004306	CB0558		2024-02-05T12:00:00Z		
FBbt:20004307	CB0559		2024-02-05T12:00:00Z		
FBbt:20004308	CB0560		2024-02-05T12:00:00Z		
FBbt:20004309	CB0561		2024-02-05T12:00:00Z		
FBbt:20004310	CB0563		2024-02-05T12:00:00Z		
FBbt:20004311	CB0564		2024-02-05T12:00:00Z		
FBbt:20004312	CB0565		2024-02-05T12:00:00Z		
FBbt:20004314	CB0567		2024-02-05T12:00:00Z		
FBbt:20004315	CB0568		2024-02-05T12:00:00Z		
FBbt:20004317	CB0572		2024-02-05T12:00:00Z		
FBbt:20004318	CB0573		2024-02-05T12:00:00Z		
FBbt:20004319	CB0574		2024-02-05T12:00:00Z		
FBbt:20004320	CB0575		2024-02-05T12:00:00Z		
FBbt:20004321	CB0576		2024-02-05T12:00:00Z		
FBbt:20004322	CB0578		2024-02-05T12:00:00Z		
FBbt:20004324	CB0580		2024-02-05T12:00:00Z		
FBbt:20004325	CB0581		2024-02-05T12:00:00Z		
FBbt:20004326	CB0582		2024-02-05T12:00:00Z		
FBbt:20004327	CB0583		2024-02-05T12:00:00Z		
FBbt:20004328	CB0584		2024-02-05T12:00:00Z		
FBbt:20004329	CB0585		2024-02-05T12:00:00Z		
FBbt:20004330	CB0586		2024-02-05T12:00:00Z		
FBbt:20004331	CB0587		2024-02-05T12:00:00Z		
FBbt:20004332	CB0588		2024-02-05T12:00:00Z		
FBbt:20004333	CB0591		2024-02-05T12:00:00Z		
FBbt:20004335	CB0593		2024-02-05T12:00:00Z		
FBbt:20004336	AN_multi_3	CB0594	2024-02-05T12:00:00Z		
FBbt:20004337	CB0595		2024-02-05T12:00:00Z		
FBbt:20004338	CB0596		2024-02-05T12:00:00Z		
