male-cns_region	FBbt_id	FBbt_name	notes
CV	FBbt:00004019	adult cervical connective	
CV-unspecified			
CX	FBbt:00003632	adult central complex	
CentralBrain	FBbt:00047887	adult central brain	
CentralBrain-unspecified			
CvN(L)	FBbt:00004053	adult cervical nerve	
CvN(R)	FBbt:00004053	adult cervical nerve	
DMetaN(L)	FBbt:00004094	adult dorsal metathoracic nerve	
DMetaN(R)	FBbt:00004094	adult dorsal metathoracic nerve	
DProN(L)	FBbt:00004055	adult dorsal prothoracic nerve	
DProN(R)	FBbt:00004055	adult dorsal prothoracic nerve	
EB	FBbt:00003678	ellipsoid body	
EBr1	FBbt:00007555	ellipsoid body inner posterior domain	
EBr2r4	FBbt:00007556	ellipsoid body outer central domain	
EBr3am	FBbt:00007553	ellipsoid body inner central domain	
EBr3d	FBbt:00007553	ellipsoid body inner central domain	
EBr3pw	FBbt:00007553	ellipsoid body inner central domain	
EBr5	FBbt:00047034	ellipsoid body anterior domain	
EBr6	FBbt:00007554	ellipsoid body outer posterior domain	
EPA(L)	FBbt:00040040	epaulette	
EPA(R)	FBbt:00040040	epaulette	
FB	FBbt:00003679	fan-shaped body	
FBl1	FBbt:00007487	fan-shaped body layer 1	
FBl2	FBbt:00007488	fan-shaped body layer 2	
FBl3	FBbt:00007490	fan-shaped body layer 3	
FBl4	FBbt:00007491	fan-shaped body layer 4	
FBl5	FBbt:00007492	fan-shaped body layer 5	
FBl6	FBbt:00007493	fan-shaped body layer 6	
FBl7	FBbt:00110655	fan-shaped body layer 7	
FBl8	FBbt:00110656	fan-shaped body layer 8	
FBl9	FBbt:00047032	fan-shaped body layer 9	
FLA(L)	FBbt:00045050	flange	
FLA(R)	FBbt:00045050	flange	
GA(L)	FBbt:00040060	gall	
GA(R)	FBbt:00040060	gall	
GNG	FBbt:00004013	gnathal ganglion	
GOR(L)	FBbt:00040039	gorget	
GOR(R)	FBbt:00040039	gorget	
HTct(UTct-T3)(L)	FBbt:00047138	haltere neuropil	
HTct(UTct-T3)(R)	FBbt:00047138	haltere neuropil	
IB	FBbt:00040050	inferior bridge	
ICL(L)	FBbt:00040049	inferior clamp	
ICL(R)	FBbt:00040049	inferior clamp	
INP	FBbt:00040037	inferior neuropils	
IPS(L)	FBbt:00045046	inferior posterior slope	
IPS(R)	FBbt:00045046	inferior posterior slope	
IntTct	FBbt:00047519	intermediate tectulum	
LA(L)	FBbt:00003708	lamina	
LA(R)	FBbt:00003708	lamina	
LAL(-GA)(L)	FBbt:00003681	adult lateral accessory lobe	
LAL(-GA)(R)	FBbt:00003681	adult lateral accessory lobe	
LAL(L)	FBbt:00003681	adult lateral accessory lobe	
LAL(R)	FBbt:00003681	adult lateral accessory lobe	
LH(L)	FBbt:00007053	adult lateral horn	
LH(R)	FBbt:00007053	adult lateral horn	
LO(L)	FBbt:00003852	lobula	
LO(R)	FBbt:00003852	lobula	
LOP(L)	FBbt:00003885	lobula plate	
LOP(R)	FBbt:00003885	lobula plate	
LOP_L_layer_1	FBbt:00003886	lobula plate layer 1	
LOP_L_layer_2	FBbt:00003887	lobula plate layer 2	
LOP_L_layer_3	FBbt:00003888	lobula plate layer 3	
LOP_L_layer_4	FBbt:00003889	lobula plate layer 4	
LOP_R_layer_1	FBbt:00003886	lobula plate layer 1	
LOP_R_layer_2	FBbt:00003887	lobula plate layer 2	
LOP_R_layer_3	FBbt:00003888	lobula plate layer 3	
LOP_R_layer_4	FBbt:00003889	lobula plate layer 4	
