group	OL_type	Matsliah_type	Schlegel_type	hemibrain_type	OL	Matsliah	Schlegel_L	Schlegel_R	matched as	Notes	specificity	FBbt_id	FBbt_name
OL_connecting	MeLo12	LMt1	CB3820		25	22	62	64	1-to-1		parent_term	FBbt:20007235	adult CB3820 neuron
OL_connecting	MeLo13	LMa1	CB3820		37	28	62	64	1-to-1		parent_term	FBbt:20007235	adult CB3820 neuron
OL_connecting	MeLo14	LMt3	CB3821		20	16	17	18	1-to-1			FBbt:20007236	adult MeLo14 neuron
OL_connecting	MeLo2	MLt3	CB3836		71	55	51	55	1-to-1			FBbt:20007251	adult medulla-lobula neuron MeLo2
OL_connecting	MeLo3a	MLt2			57	47			1-to-1			FBbt:00053502	adult medulla-lobula neuron MeLo3a
OL_connecting	MeLo3b	MLt5			40	36			1-to-1			FBbt:00053503	adult medulla-lobula neuron MeLo3b
OL_connecting	MeLo4	MLt6			34	29			1-to-1	A few FlyWire MLt6 appear to be Tm cells (720575940618739358, 720575940617918747,720575940624718775)		FBbt:00053504	adult medulla-lobula neuron MeLo4
OL_connecting	MeLo5	MLt8			19	14			1-to-1			FBbt:00053505	adult medulla-lobula neuron MeLo5
OL_connecting	MeLo6	MLt7			30	23			1-to-1			FBbt:00053506	adult medulla-lobula neuron MeLo6
OL_connecting	MeLo7	MLt4			48	44			1-to-1			FBbt:00053507	adult medulla-lobula neuron MeLo7
OL_connecting	MeLo8	LMa2	CB3824		23	20	26	30	1-to-1			FBbt:20007239	adult MeLo8 neuron
OL_connecting	MeLo9	LMa5	CB3818		42	34	45	38	1-to-1			FBbt:20007233	adult medulla-lobula neuron MeLo9
OL_connecting	T1	T1	T1		892	731	645	745	1-to-1			FBbt:00003727	columnar neuron T1
OL_connecting	T2	T2	T2		822	722	738	716	1-to-1			FBbt:00003728	T2 neuron
OL_connecting	T2a	T2a	T2a		939	866	910	870	1-to-1			FBbt:00003729	T2a neuron
OL_connecting	T3	T3	T3		976	824	825	790	1-to-1			FBbt:00003730	T3 neuron
OL_connecting	T4a	T4a	T4a		849	737	729	734	1-to-1			FBbt:00003732	T4a neuron
OL_connecting	T4b	T4b	T4b		846	748	756	751	1-to-1			FBbt:00003733	T4b neuron
OL_connecting	T4c	T4c	T4c		883	841	850	842	1-to-1			FBbt:00003734	T4c neuron
OL_connecting	T4d	T4d	T4d		859	777	802	776	1-to-1			FBbt:00003735	T4d neuron
OL_connecting	T5a	T5a	T5a		838	743	742	740	1-to-1			FBbt:00003737	T5a neuron
OL_connecting	T5b	T5b	T5b		852	760	758	762	1-to-1			FBbt:00003738	T5b neuron
