accession	type	class	superclass	subclass	fruDsx	synonyms	hemibrainType	flywireType	mancType	somaNeuromere	specificity	FBbt_id	FBbt_name	references
29635	CL283_c		cb_intrinsic				CL283	CL283c			parent_term	FBbt:20000988	adult clamp neuron 283	
18939	LHPV2i2_b		cb_intrinsic				LHPV2i2	LHPV2i2b			parent_term	FBbt:00051798	adult lateral horn PV2i2 neuron	
519694	SLP240_b		cb_intrinsic				SLP240_b	SLP240_b			parent_term	FBbt:20002634	adult superior lateral protocerebrum neuron 240	
10929	lLN2T_a	ALLN	cb_intrinsic		fru_low		lLN2T_a	lLN2X03		DC	parent_term	FBbt:00049816	adult antennal lobe local neuron lLN2T	
53866	CB1394_b		cb_intrinsic					CB1394_b		CG	parent_term	FBbt:20005044	adult CB1394 neuron	
267437	lLN2P_c	ALLN	cb_intrinsic				lLN2P_c	lLN2P_c		DC	parent_term	FBbt:00049813	adult antennal lobe local neuron lLN2P	
529130	CL086_a		cb_intrinsic				CL086_a	CL086_a,CL086_d			parent_term	FBbt:20000791	adult clamp neuron 086	
513888	LAL029_a		cb_intrinsic		fru_low	Cachero 2010: aSP-d; Yu 2010: aSP13	LAL029	LAL028,LAL029			parent_term	FBbt:20001325	adult lateral accessory lobe neuron 029	
22733	CL121_b		cb_intrinsic		fru_low	Cachero 2010: aDT-g; Yu 2010: aDT5	CL121	CB3978			parent_term	FBbt:20000826	adult clamp neuron 121	
13427	SMP011_a		cb_intrinsic				SMP011	SMP011a			parent_term	FBbt:20002873	adult superior medial protocerebrum neuron 011	
516359	CL128_d		cb_intrinsic				CL128	CL128b			parent_term	FBbt:20000833	adult clamp neuron 128	
64153	LHPV2c1_a		cb_intrinsic				LHPV2c1_a	CB2828			parent_term	FBbt:00049381	adult lateral horn PV2c1 neuron	
530668	LAL030_a		cb_intrinsic				LAL030_a	LAL030b			parent_term	FBbt:20001326	adult lateral accessory lobe neuron 030	
176862	AVLP299_c		cb_intrinsic		fru_high	Cachero 2010: aIP-b	AVLP299_c	AVLP299_a			parent_term	FBbt:20000408	adult anterior ventrolateral protocerebrum neuron 299	
524286	CL071_b		cb_intrinsic				CL071	CL071b			parent_term	FBbt:20000776	adult clamp neuron 071	
544496	ER3a_c	CX	cb_intrinsic				ER3a_c	ER3a			parent_term	FBbt:00047039	adult ellipsoid body ring neuron R3a	
10657	AVLP299_b		cb_intrinsic		fru_high	Cachero 2010: aIP-b	AVLP299_b	AVLP299_b			parent_term	FBbt:20000408	adult anterior ventrolateral protocerebrum neuron 299	
