flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	specificity	FBbt_id	FBbt_name
afferent	ascending	AN	AN_GNG	AN_GNG_155		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_156		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_157		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_158		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_159		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_16		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_160		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_161		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_162		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_163		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_164		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_165		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_166		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_167		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_168		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_169		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_17		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_170		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_171		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_172		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_173		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_174		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_175		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_176		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_177		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_GNG	AN_GNG_178		general_term	FBbt:00048301	adult ascending neuron
