primary_type	specificity	FBbt_id	FBbt_name	references
AN_multi_2	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_20	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_21	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_22	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_23	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_24	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_25	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_26	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_27	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_28		FBbt:20002054	adult posterior slope neuron 299	
AN_multi_29	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_3		FBbt:20004336	adult AN_multi_3 neuron	
AN_multi_30	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_31	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_32	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_33	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_34	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_35	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_36	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_37	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_38	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_39	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_4	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_40	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_41	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_42	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_43	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_44	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_45	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_46	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_47	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_48	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_49	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_50	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_51	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_52	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_53	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_54	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_55	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_56	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_57	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_58	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_59	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_6	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_60	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_61	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_62	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_63	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_64	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_65	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_66	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_67	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_68	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_69	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_7	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_70	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_71	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_72	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_73	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_74	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_75	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_76	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_77	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_78	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_79	general_term	FBbt:00048301	adult ascending neuron	
AN_multi_8	general_term	FBbt:00048301	adult ascending neuron	
